	Valence	Arousal	Internal norms	External norms
H001.jpg	58.107	41.844	77.08718436	76.63402557
H002.jpg	34.785	57.825	47.47912089	53.92532349
H003.jpg	22.991	64.583	16.30599976	23.8508606
H005.jpg	2.377	72.751	0.806357644	9.862009684
H006.jpg	31.806	56.414	40.0004069	46.42353058
H007.jpg	21.725	56.526	21.85697202	26.02685782
H008.jpg	26.711	61.011	23.71368408	35.09338379
H009.jpg	44.285	36.471	42.31511896	59.08605402
H010.jpg	59.914	34.641	65.05296495	76.11522675
H011.jpg	15.989	68.184	17.42998759	20.62774658
H012.jpg	48.866	38.756	65.80619812	66.56990051
H013.jpg	56.520	51.334	71.65634155	72.5062561
H014.jpg	34.357	47.883	33.49304199	41.75872803
H015.jpg	30.109	53.259	27.42546929	30.0930447
H016.jpg	22.958	52.519	27.36223009	30.78079224
H017.jpg	50.638	44.972	40.84884644	44.02980804
H018.jpg	49.917	41.645	40.09280735	52.58499146
H019.jpg	22.394	70.389	30.39764404	33.15307617
H020.jpg	47.134	42.726	55.48983487	60.42751736
H021.jpg	47.525	40.634	56.7972695	58.37940216
H022.jpg	0.720	92.402	0.604756673	1.019159953
H023.jpg	57.716	39.284	53.74696313	59.12360215
H024.jpg	39.573	37.783	37.92419434	39.19864231
H025.jpg	45.757	48.196	49.10461426	52.01941596
H026.jpg	12.776	73.275	25.2831199	22.74032593
H027.jpg	41.626	51.198	39.03839111	44.77386475
H028.jpg	37.557	46.953	21.29013062	27.4648493
H029.jpg	32.120	44.138	44.83276367	39.55874973
H030.jpg	11.803	75.193	17.77450562	23.36364746
H031.jpg	27.657	46.589	27.21269396	30.71899414
H032.jpg	1.929	77.861	3.615188599	6.500752767
H033.jpg	57.417	50.473	58.10684204	59.13787842
H034.jpg	6.758	78.315	31.24961853	60.02025604
H035.jpg	19.757	66.382	15.25132613	21.88177842
H036.jpg	9.221	83.398	0.577672323	9.646606445
H037.jpg	8.019	82.656	7.609696822	8.660736084
H038.jpg	1.789	71.260	2.580388387	14.62783813
H039.jpg	39.060	59.507	36.35467529	36.11953735
H040.jpg	47.298	55.561	25.47874451	28.49208287
H041.jpg	13.962	72.308	18.12820435	37.23157247
H042.jpg	53.671	51.888	65.68036761	67.29474749
H043.jpg	39.625	54.972	38.01990856	33.8671875
H044.jpg	18.500	63.722	30.96382835	39.62844849
H045.jpg	46.435	40.220	53.99814182	56.11862183
H047.jpg	44.436	38.656	49.19174194	52.71484375
H048.jpg	15.751	68.614	20.16970317	23.1056907
H049.jpg	31.626	52.990	41.59393311	34.22241211
H050.jpg	44.816	38.341	38.39523315	52.99102783
H051.jpg	26.970	53.416	20.0378418	42.39349365
H052.jpg	47.577	36.817	48.90511253	51.04023327
H053.jpg	29.308	62.445	25.3771464	31.57730103
H054.jpg	43.978	40.317	52.45500044	55.04959106
H055.jpg	34.008	60.451	30.90713501	34.53994751
H056.jpg	2.615	68.525	6.744766235	14.60444132
H057.jpg	59.742	49.628	48.34403992	49.46178089
H058.jpg	40.240	50.719	24.82406616	39.37971327
H059.jpg	29.620	36.969	24.78652954	40.89401245
H060.jpg	53.846	38.963	62.75436401	64.22393799
H061.jpg	37.294	58.173	34.49554443	35.3094101
H062.jpg	14.063	66.984	17.61469061	23.8758511
H063.jpg	5.666	81.855	15.21967108	13.23661804
H064.jpg	8.839	80.739	17.82213847	20.591863
H065.jpg	16.598	68.414	19.0612793	18.96292947
H066.jpg	4.016	80.577	6.289950284	8.759793368
H074.jpg	2.022	87.282	0.954055786	10.86743673
H076.jpg	21.249	64.605	33.1829834	34.33486938
H077.jpg	0.779	91.290	9.058888753	11.62997159
H078.jpg	7.931	74.380	12.97907336	21.024049
H079.jpg	3.442	71.130	5.349095662	7.974878947
H080.jpg	18.900	70.282	26.55677795	25.30670166
H081.jpg	10.475	77.612	16.42443339	17.35520796
H082.jpg	17.722	65.068	25.39952596	28.09878263
H083.jpg	24.468	68.306	28.66719564	22.19371796
H084.jpg	18.429	82.425	12.72824605	10.54826216
H085.jpg	49.555	41.463	27.82406277	47.52368927
H086.jpg	48.240	38.878	40.88088989	43.22135232
H087.jpg	10.788	75.598	19.61580912	25.39352417
H088.jpg	15.040	65.625	16.5184021	21.56982422
H089.jpg	50.608	46.491	33.67385864	38.73621623
H090.jpg	61.405	38.940	54.10861969	56.62612915
H091.jpg	16.351	50.135	22.25710551	32.51622518
H092.jpg	15.491	65.453	20.93006481	34.17171902
H093.jpg	17.284	68.604	6.457103382	14.54722087
H094.jpg	51.261	47.006	54.69546848	68.37982178
H095.jpg	15.468	42.883	30.34408569	40.31921387
H097.jpg	25.612	57.728	42.90022417	44.08760071
H098.jpg	24.505	53.024	12.85858154	25.06852583
H099.jpg	10.942	68.792	10.49321493	18.31886985
H100.jpg	5.095	60.461	4.475402832	20.30245463
H101.jpg	22.891	55.387	17.18322754	22.71972656
H102.jpg	24.700	52.723	24.58288019	39.01492032
H103.jpg	54.350	32.310	63.27377319	64.29697673
H104.jpg	13.382	73.529	23.35154215	34.05838013
H105.jpg	5.232	76.050	10.44629415	20.66192627
H106.jpg	35.158	39.157	38.19318499	40.33660889
H107.jpg	20.400	45.939	13.9771895	38.11149597
H108.jpg	35.272	57.281	31.83966743	33.49643283
H109.jpg	51.065	52.625	40.50123427	34.29718018
H110.jpg	42.523	45.154	39.56054688	48.67797852
H112.jpg	17.421	79.824	22.41394043	28.53851318
H122.jpg	3.675	83.936	6.98890686	12.26099188
H123.jpg	9.926	77.079	20.25077126	18.99192116
H124.jpg	9.987	70.588	23.7469991	30.51961263
H125.jpg	34.254	61.699	35.08300781	32.92068481
H126.jpg	21.032	56.735	41.18818803	55.61842485
