	Valence	(SD)		Arousal	(SD)		Internal norms	(SD)		External norms	(SD)
A001.jpg	2.553	(5.43)		74.995	(22.06)		12.289	(29.83)		16.409	(31.96)
A002.jpg	45.698	(16.01)		56.948	(25.21)		75.412	(25.49)		78.69	(22.93)
A004.jpg	36.197	(25.63)		55.567	(30.98)		40.215	(40.99)		63.346	(42.37)
A005.jpg	43.439	(21.20)		48.905	(31.39)		51.039	(31.79)		40.093	(25.69)
A006.jpg	27.544	(16.81)		67.897	(19.94)		22.595	(17.77)		31.435	(29.01)
A007.jpg	9.945	(11.93)		80.94	(16.06)		11.803	(17.24)		6.987	(13.63)
A008.jpg	13.941	(13.51)		61.118	(26.81)		27.268	(24.34)		37.625	(29.97)
A009.jpg	12.554	(12.64)		68.251	(21.66)		16.115	(12.36)		20.963	(20.03)
A010.jpg	20.095	(25.93)		59.918	(31.95)		24.166	(29.78)		29.389	(35.20)
A011.jpg	15.314	(15.10)		65.202	(15.05)		35.949	(34.41)		52.69	(32.47)
A013.jpg	2.116	(2.90)		71.199	(18.97)		10.539	(15.80)		13.957	(26.47)
A014.jpg	13.449	(18.56)		68.205	(23.89)		15.984	(21.23)		23.873	(29.08)
A015.jpg	25.292	(21.74)		49.524	(23.90)		28.711	(25.34)		25.67	(21.07)
A016.jpg	26.328	(24.68)		54.657	(28.48)		33.143	(30.81)		36.415	(35.99)
A017.jpg	19.328	(15.71)		61.913	(20.34)		24.674	(26.20)		25.339	(24.91)
A018.jpg	2.951	(5.97)		80.254	(16.97)		17.75	(30.62)		24.115	(38.27)
A019.jpg	31.632	(21.75)		37.72	(30.06)		36.221	(25.70)		58.088	(32.10)
A020.jpg	43.921	(23.26)		54.832	(25.17)		56.36	(36.16)		62.151	(35.59)
A021.jpg	11.466	(20.12)		73.033	(22.48)		23.217	(27.60)		26.383	(35.07)
A022.jpg	24.95	(21.81)		53.276	(35.28)		26.677	(28.55)		32.958	(28.74)
A023.jpg	39.657	(31.69)		66.628	(18.08)		40.732	(32.93)		50.154	(29.50)
A024.jpg	42.079	(25.02)		47.688	(23.76)		45.545	(27.76)		51.37	(34.95)
A025.jpg	12.698	(14.30)		70.391	(26.36)		21.834	(22.86)		31.672	(31.81)
A026.jpg	31.85	(27.67)		49.613	(36.94)		33.044	(37.52)		35.123	(38.62)
A027.jpg	14.332	(16.09)		59.137	(27.25)		33.508	(37.72)		42.73	(38.54)
A028.jpg	25.728	(20.51)		52.844	(26.54)		36.375	(35.18)		47.434	(38.64)
A029.jpg	17.556	(28.12)		73.501	(26.33)		15.017	(29.75)		19.714	(29.17)
A030.jpg	3.492	(9.49)		74.032	(26.72)		9.947	(13.34)		23.429	(37.66)
A031.jpg	47.866	(27.81)		28.412	(27.01)		44.083	(36.34)		51.02	(35.22)
A032.jpg	22.335	(25.43)		65.62	(27.27)		13.35	(18.58)		17.191	(29.36)
A033.jpg	11.406	(13.99)		75.875	(19.23)		13.991	(15.65)		27.203	(31.54)
A034.jpg	14.541	(29.28)		63.938	(30.52)		14.975	(27.60)		16.244	(27.69)
A035.jpg	15.219	(18.99)		66.286	(26.02)		18.412	(24.75)		28.179	(33.52)
A036.jpg	10.099	(15.23)		69.008	(17.85)		18.174	(21.33)		23.487	(27.30)
A037.jpg	9.59	(13.43)		71.531	(22.60)		15.416	(22.53)		32.171	(33.46)
A038.jpg	7.107	(12.12)		77.493	(20.31)		14.177	(21.86)		19.192	(32.68)
A039.jpg	46.592	(37.86)		50.394	(32.10)		28.772	(34.42)		44.741	(43.22)
A040.jpg	13.283	(15.74)		63.131	(31.91)		18.317	(21.62)		25.147	(26.43)
A041.jpg	1.354	(1.81)		83.041	(21.62)		0.47	(0.86)		0.482	(0.89)
A042.jpg	15.551	(15.94)		66.332	(23.39)		20.967	(19.92)		41.322	(17.64)
A043.jpg	26.463	(22.86)		45.946	(25.06)		34.562	(28.73)		47.803	(32.51)
A044.jpg	27.904	(19.21)		59.438	(22.25)		24.683	(29.25)		33.258	(39.12)
A045.jpg	39.516	(28.39)		34.829	(36.69)		52.419	(40.40)		54.139	(40.75)
A047.jpg	14.422	(17.06)		64.758	(33.43)		18.475	(26.61)		22.527	(28.51)
A048.jpg	20.067	(12.01)		67.133	(16.37)		29.556	(25.67)		43.065	(30.05)
A049.jpg	20.805	(26.00)		63.986	(27.30)		22.501	(24.78)		28.587	(32.32)
A050.jpg	17.095	(22.53)		74.867	(30.20)		23.523	(30.06)		24.385	(31.22)
A051.jpg	10.249	(12.78)		51.488	(30.09)		11.716	(13.12)		32.536	(37.16)
A052.jpg	33.874	(33.87)		45.797	(30.26)		33.898	(36.80)		31.164	(33.51)
A053.jpg	43.374	(25.28)		42.124	(26.62)		56.632	(23.73)		63.842	(30.27)
A054.jpg	31.094	(34.05)		65.351	(32.03)		39.76	(35.25)		47.125	(40.57)
A055.jpg	9.603	(7.85)		78.258	(27.76)		6.424	(8.55)		9.091	(13.81)
A056.jpg	17.083	(14.87)		59.645	(32.62)		14.256	(13.56)		11.114	(11.30)
A057.jpg	14.193	(13.91)		52.694	(29.29)		19.866	(22.03)		44.24	(35.13)
A058.jpg	23.977	(21.29)		62.866	(27.55)		32.292	(29.52)		39.608	(34.53)
A059.jpg	49.51	(29.85)		48.027	(33.14)		48.824	(40.02)		54.875	(34.93)
A060.jpg	31.445	(14.65)		58.323	(28.45)		36.473	(21.75)		43.87	(26.41)
A061.jpg	21.038	(14.76)		41.819	(30.72)		28.021	(14.28)		47.431	(26.06)
A062.jpg	13.92	(16.23)		67.251	(28.66)		15.586	(18.16)		23.933	(27.39)
A063.jpg	32.471	(21.33)		48.632	(27.64)		41.555	(36.45)		46.855	(39.20)
A064.jpg	34.857	(33.18)		61.277	(34.24)		31.719	(40.38)		33.843	(43.48)
A067.jpg	24.387	(20.14)		56.758	(20.07)		30.194	(23.38)		44.361	(29.41)
A068.jpg	11.99	(14.19)		71.169	(21.56)		28.965	(29.70)		37.702	(34.03)
A069.jpg	15.834	(14.34)		63.027	(21.47)		14.01	(9.26)		28.698	(31.33)
A070.jpg	15.536	(13.39)		66.856	(24.85)		25.63	(21.94)		25.563	(16.25)
A071.jpg	5.957	(6.12)		68.24	(29.01)		23.185	(33.50)		19.394	(32.68)
A072.jpg	24.545	(16.54)		62.188	(22.12)		34.37	(26.70)		44.374	(29.13)
A073.jpg	11.092	(15.85)		63.592	(35.84)		15.726	(19.97)		20.801	(25.19)
A074.jpg	18.235	(19.37)		61.251	(30.63)		17.052	(19.10)		24.853	(24.85)
A075.jpg	0.414	(0.99)		89.04	(11.66)		0.363	(0.85)		0.454	(1.09)
A076.jpg	18.368	(17.80)		60.1	(27.87)		24.868	(22.25)		41.566	(34.23)
A077.jpg	17.551	(13.15)		48.588	(29.60)		14.779	(14.12)		39.103	(37.59)
A078.jpg	37.075	(24.10)		40.249	(32.81)		35.764	(33.94)		47.272	(38.80)
A079.jpg	7.469	(11.09)		70.881	(20.91)		17.298	(27.80)		22.371	(30.82)
A080.jpg	45.656	(28.58)		38.796	(27.88)		64.856	(27.84)		59.46	(24.89)
A081.jpg	28.797	(15.38)		40.305	(25.07)		35.637	(23.09)		56.022	(34.47)
A082.jpg	34.795	(27.66)		54.998	(29.03)		24.799	(30.09)		16.502	(22.52)
A083.jpg	7.076	(8.80)		82.561	(11.91)		16.231	(20.48)		26.041	(28.27)
A084.jpg	21.07	(17.25)		63.252	(21.92)		35.738	(27.22)		61.993	(24.81)
